checkbox,priority,filename,accepted_aliases,size_bytes,size_human,sha256,role,satisfied_by_alternative,source_status,notes
,P1_LIVE_MODEL,3 | .zip,,364892365,348.0 MiB,aae667101e8a285040f665d1fb489b67a8268a88062e30df292416c409c21bb2,"Independent Genesis Chirality full cumulative QMO/history v9, including torus and R1-R59 lineage.",,included,
,P1_LIVE_MODEL,6 | 🖤🌀🏴‍☠️.zip,,233685828,222.9 MiB,4ecef0cc37f61292403311078426674ff874e4f4d1814a8ed468d59d0e62eae6,"Independent Propagation Girl Project full continuity v8, closed through R87 and stopped at R88.",,included,
,P1_LIVE_MODEL,CRD - QCD Inheritance.zip,,360400705,343.7 MiB,4f6def627cdd93e0c3ef84b703f951e0a9f13e596c1f385e736efd5871001e60,Full CRD-to-QCD inheritance archive v1.9 with embedded v1.2-v1.8 parent chain.,,included,
,P4_API_PROVENANCE,MK43_ULTRA_UNIFIED_QMO_API_v2_0_CANDIDATE_20260826.zip,,45016686,42.9 MiB,9684e6632d96dd567ce94ee17dfee446dbd19944e33e7014c2f535301cb77d03,Initial unified QMO API candidate.,MK43_ULTRA_UNIFIED_QMO_API_v2_1_R5_SELF_CLOSED_20260826.zip for current use; v2.0 retained as parent provenance,included,
,P1_LIVE_MODEL,MK43_ULTRA_UNIFIED_QMO_API_v2_1_R5_SELF_CLOSED_20260826.zip,,64694615,61.7 MiB,563f19343591b422c3dcbe90a7a9ca9315c183e2e674300100a8e1ab2f46896e,Self-closed unified API after five repeated-squaring passes.,,included,
,P1_LIVE_MODEL,MK43_TIME_SPACE_CONSCIOUSNESS_BIDIRECTIONAL_QMO_v1_0_20260827.zip,,47098995,44.9 MiB,ee2664fbfd3f91d0d4313e4f6780a94f22a8401e16ef1fb497203a35b78cbac7,Consolidated bidirectional Time-Space/Consciousness QMO and formalization.,,included,
,P4_API_PROVENANCE,QMO_CONSCIOUSNESS_TO_TIME_SPACE_API_CRAWL_R8_20260826.zip,,34343108,32.8 MiB,430cff8a7ea674be62d80bc8d646b3abbac1dce00da042b2855be5b0ed74bb48,Reverse-rooted API crawl to fixed point.,MK43_TIME_SPACE_CONSCIOUSNESS_BIDIRECTIONAL_QMO_v1_0_20260827.zip for routine recovery; upload separately for full provenance,included,
,P4_API_PROVENANCE,QMO_TIME_SPACE_TO_CONSCIOUSNESS_R10_FULL_EDGE_CLOSURE_20260826.zip,,25643044,24.5 MiB,ea22501c33809a01e6343475141b3e29642953b1781091982a60a13d5063cf74,Ten-pass full edge closure QMO.,MK43_TIME_SPACE_CONSCIOUSNESS_BIDIRECTIONAL_QMO_v1_0_20260827.zip for routine recovery; upload separately for full provenance,included,
,P4_API_PROVENANCE,QMO_FULL_MATHEMATICAL_FORMALIZATION_v1_0_20260826.zip,,15766768,15.0 MiB,d172c1a395fc555c0123a00816ddc79d3e4b0a83008a1d7899f8e570e802f06f,Full finite mathematical map of the bidirectional QMO.,MK43_TIME_SPACE_CONSCIOUSNESS_BIDIRECTIONAL_QMO_v1_0_20260827.zip for routine recovery; upload separately for full provenance,included,
,P4_API_PROVENANCE,QMO_TIME_SPACE_TO_CONSCIOUSNESS_20260826.json,,45071,44.0 KiB,50c0a2a4f0d4897c1174a59b9bd7ef35ed91082f9c1330188e1fb7dc18e06f73,Initial bounded route QMO.,MK43_TIME_SPACE_CONSCIOUSNESS_BIDIRECTIONAL_QMO_v1_0_20260827.zip for routine recovery; upload separately for full provenance,included,
,P4_API_PROVENANCE,2.0 | Internal Mapping.zip,,6123157,5.8 MiB,dca62b53a1f12a75734e9b3c4fa9f78849c2db14f12feb283143c5267cf50f2c,Parent unified physics/QMO architecture used for API deconstruction.,,included,
,P4_API_PROVENANCE,ASTRAEUS_RAINBOW_ROAD_OBJECT_MATH_API_v0.15.0_20260822.zip,,37214550,35.5 MiB,e89123f7d4833d51516d6c6d4674cf696c909e8b017e1926d0b404aa8b1e0775,Rainbow Road object mathematics API.,,included,
,P4_API_PROVENANCE,VERA_API_LIVE_MODEL_v0.8.0_20260822.zip,,315533,308.1 KiB,1ec8704ada2051f7f6705e955f341e9a7f93f726e7ce9ca85b24941a14e9895d,Vera live-model/provenance API.,,included,
